Group.1,n
06021.Hispanic,7534
"06021.Other, Non-Hispanic",1135
"06021.White, Non-Hispanic",11592
"06023.Black, Non-Hispanic",1464
06023.Hispanic,10756
"06023.Other, Non-Hispanic",12255
"06023.White, Non-Hispanic",85329
"06025.Black, Non-Hispanic",4043
06025.Hispanic,105154
"06025.Other, Non-Hispanic",3670
"06025.White, Non-Hispanic",15977
"06027.Black, Non-Hispanic",146
06027.Hispanic,2573
"06027.Other, Non-Hispanic",1996
"06027.White, Non-Hispanic",9653
"06029.Black, Non-Hispanic",34892
06029.Hispanic,306126
"06029.Other, Non-Hispanic",46348
"06029.White, Non-Hispanic",242187
"06031.Black, Non-Hispanic",7861
06031.Hispanic,54746
"06031.Other, Non-Hispanic",7711
"06031.White, Non-Hispanic",39337
"06033.Black, Non-Hispanic",1182
06033.Hispanic,8482
"06033.Other, Non-Hispanic",3013
"06033.White, Non-Hispanic",38116
"06035.Black, Non-Hispanic",2622
06035.Hispanic,5303
"06035.Other, Non-Hispanic",1705
"06035.White, Non-Hispanic",16586
"06037.Black, Non-Hispanic",658252
06037.Hispanic,3525684
"06037.Other, Non-Hispanic",1413202
"06037.White, Non-Hispanic",2269674
"06039.Black, Non-Hispanic",4239
06039.Hispanic,58223
"06039.Other, Non-Hispanic",5678
"06039.White, Non-Hispanic",44441
"06041.Black, Non-Hispanic",4861
06041.Hispanic,28152
"06041.Other, Non-Hispanic",20323
"06041.White, Non-Hispanic",153975
"06043.Black, Non-Hispanic",200
06043.Hispanic,1416
"06043.Other, Non-Hispanic",1021
"06043.White, Non-Hispanic",11941
"06045.Black, Non-Hispanic",561
06045.Hispanic,13943
"06045.Other, Non-Hispanic",5665
"06045.White, Non-Hispanic",48354
"06047.Black, Non-Hispanic",6835
06047.Hispanic,104687
"06047.Other, Non-Hispanic",18625
"06047.White, Non-Hispanic",60773
